date,day,month,year,tas,tasmin,pr,complete,empty
2005-04-28,28,Apr,2005,4.3,-0.3,3.6,TRUE,FALSE
2005-04-29,29,Apr,2005,2.9,-4,0.4,TRUE,FALSE
2005-04-30,30,Apr,2005,-0.2,-4.8,1.9,TRUE,FALSE
2005-05-01,1,May,2005,2.9,-3.2,2,TRUE,FALSE
2005-05-02,2,May,2005,1.7,-3.8,2.8,TRUE,FALSE
2005-05-03,3,May,2005,2.6,-2.5,0,TRUE,FALSE
2005-05-04,4,May,2005,2.7,-4.2,0,TRUE,FALSE
2005-05-05,5,May,2005,5.5,-5.7,0,TRUE,FALSE
2005-05-06,6,May,2005,8.2,-3.2,0,TRUE,FALSE
2005-05-07,7,May,2005,9.5,-0.6,0,TRUE,FALSE
2005-05-08,8,May,2005,10.2,-2.4,0,TRUE,FALSE
2005-05-09,9,May,2005,12.9,0.2,0,TRUE,FALSE
2005-05-10,10,May,2005,15.1,2.6,3,TRUE,FALSE
2005-05-11,11,May,2005,6.8,-2,0,TRUE,FALSE
2005-05-12,12,May,2005,2.1,-5,0,TRUE,FALSE
2005-05-13,13,May,2005,2.7,-7.7,3.1,TRUE,FALSE
2005-05-14,14,May,2005,8.4,3.9,4.9,TRUE,FALSE
2005-05-15,15,May,2005,7.2,0,2.9,TRUE,FALSE
2005-05-16,16,May,2005,4,-1.9,0.6,TRUE,FALSE
2005-05-17,17,May,2005,4,-2.5,0,TRUE,FALSE
2005-05-18,18,May,2005,7,-2.4,0,TRUE,FALSE
2005-05-19,19,May,2005,8.6,-2.5,0,TRUE,FALSE
2005-05-20,20,May,2005,9.4,-1.5,0,TRUE,FALSE
2005-05-21,21,May,2005,9.5,-0.6,0,TRUE,FALSE
2005-05-22,22,May,2005,8.6,2.3,0.3,TRUE,FALSE
2005-05-23,23,May,2005,9.3,6.7,1.5,TRUE,FALSE
2005-05-24,24,May,2005,10.8,3.2,0.8,TRUE,FALSE
2005-05-25,25,May,2005,12.4,0.6,0,TRUE,FALSE
2005-05-26,26,May,2005,12.2,-0.6,0,TRUE,FALSE
2005-05-27,27,May,2005,13.3,4.1,0,TRUE,FALSE
2005-05-28,28,May,2005,11.2,1.2,0.3,TRUE,FALSE
2005-05-29,29,May,2005,9,-0.5,1.7,TRUE,FALSE
2005-05-30,30,May,2005,11.2,2.5,0.4,TRUE,FALSE
2005-05-31,31,May,2005,15.7,7.2,0,TRUE,FALSE
2006-03-01,1,Mar,2006,-14.2,-26,0,TRUE,FALSE
2006-03-02,2,Mar,2006,-13.7,-23,0,TRUE,FALSE
2006-03-03,3,Mar,2006,-12.3,-17.9,0,TRUE,FALSE
2006-03-04,4,Mar,2006,-4.7,-10.1,0,TRUE,FALSE
2006-03-05,5,Mar,2006,-9,-18.2,0,TRUE,FALSE
2006-03-06,6,Mar,2006,-11.7,-24,0,TRUE,FALSE
2006-03-07,7,Mar,2006,-10,-19.7,0,TRUE,FALSE
2006-03-08,8,Mar,2006,-8,-17.4,0.3,TRUE,FALSE
2006-03-09,9,Mar,2006,1.5,-1.7,3.5,TRUE,FALSE
2006-03-10,10,Mar,2006,3.4,0,9.9,TRUE,FALSE
2006-03-11,11,Mar,2006,2.8,-4.2,0,TRUE,FALSE
2006-03-12,12,Mar,2006,4.2,-4,2.3,TRUE,FALSE
2006-03-13,13,Mar,2006,1.3,-2.6,12.9,TRUE,FALSE
2006-03-14,14,Mar,2006,-2.7,-8.3,2.8,TRUE,FALSE
2006-03-15,15,Mar,2006,-6.5,-9,1.9,TRUE,FALSE
2006-03-16,16,Mar,2006,-9.2,-16.1,0,TRUE,FALSE
2006-03-17,17,Mar,2006,-10,-17.2,0,TRUE,FALSE
2006-03-18,18,Mar,2006,-10.2,-13.7,0.5,TRUE,FALSE
2006-03-19,19,Mar,2006,-7.5,-11.4,1.1,TRUE,FALSE
2006-03-20,20,Mar,2006,-10.9,-16.8,0.6,TRUE,FALSE
2006-03-21,21,Mar,2006,-8.8,-15.6,0.3,TRUE,FALSE
2006-03-22,22,Mar,2006,-5.7,-12.2,0.3,TRUE,FALSE
2006-03-23,23,Mar,2006,-2,-9.3,0,TRUE,FALSE
2006-03-24,24,Mar,2006,0.9,-4.9,0,TRUE,FALSE
2006-03-25,25,Mar,2006,1.4,-2.5,0,TRUE,FALSE
2006-03-26,26,Mar,2006,-0.6,-7.6,0.3,TRUE,FALSE
2006-03-27,27,Mar,2006,-0.8,-10.5,0,TRUE,FALSE
2006-03-28,28,Mar,2006,0.2,-10.4,0,TRUE,FALSE
2006-03-29,29,Mar,2006,0.4,-10.1,0,TRUE,FALSE
2006-03-30,30,Mar,2006,2.1,-7.7,0,TRUE,FALSE
2006-03-31,31,Mar,2006,8.6,-2.5,1.9,TRUE,FALSE
2006-04-01,1,Apr,2006,3.5,-3.3,6.8,TRUE,FALSE
2006-04-02,2,Apr,2006,2.3,-5.7,0,TRUE,FALSE
2006-04-03,3,Apr,2006,4.3,1.1,14,TRUE,FALSE
2006-04-04,4,Apr,2006,-0.5,-5.1,1.7,TRUE,FALSE
2006-04-05,5,Apr,2006,-1.7,-7.6,0.3,TRUE,FALSE
2006-04-06,6,Apr,2006,4.3,-1,0.3,TRUE,FALSE
2006-04-07,7,Apr,2006,-2.6,-7.3,2.6,TRUE,FALSE
2006-04-08,8,Apr,2006,-4.3,-11.7,0,TRUE,FALSE
2006-04-09,9,Apr,2006,-1.2,-10.4,0,TRUE,FALSE
2006-04-10,10,Apr,2006,3.3,-7,0,TRUE,FALSE
2006-04-11,11,Apr,2006,7.6,-2.1,0,TRUE,FALSE
2006-04-12,12,Apr,2006,8,-1.7,5.4,TRUE,FALSE
2006-04-13,13,Apr,2006,5.8,-2.1,0,TRUE,FALSE
2006-04-14,14,Apr,2006,6.5,-3.2,1.1,TRUE,FALSE
2006-04-15,15,Apr,2006,6,3.2,0.5,TRUE,FALSE
2006-04-16,16,Apr,2006,5.7,0.1,0,TRUE,FALSE
2006-04-17,17,Apr,2006,6.5,-1.2,0,TRUE,FALSE
2006-04-18,18,Apr,2006,7.9,-2.5,0,TRUE,FALSE
2006-04-19,19,Apr,2006,9.7,-2.7,0,TRUE,FALSE
2006-04-20,20,Apr,2006,9.5,-3.3,0,TRUE,FALSE
2006-04-21,21,Apr,2006,8.5,-2.2,0,TRUE,FALSE
2006-04-22,22,Apr,2006,7.7,3.8,6.6,TRUE,FALSE
2006-04-23,23,Apr,2006,3.9,2.2,11,TRUE,FALSE
2006-04-24,24,Apr,2006,5.6,3.4,4.6,TRUE,FALSE
2006-04-25,25,Apr,2006,1.5,-3.6,3.1,TRUE,FALSE
2006-04-26,26,Apr,2006,3.5,-4.8,0.3,TRUE,FALSE
2006-04-27,27,Apr,2006,1.6,-5.1,0,TRUE,FALSE
2006-04-28,28,Apr,2006,3.1,-7.4,0,TRUE,FALSE
2006-04-29,29,Apr,2006,5.9,-6.3,0,TRUE,FALSE
2006-04-30,30,Apr,2006,8.8,-4,0,TRUE,FALSE
2006-05-01,1,May,2006,10.9,-2,0,TRUE,FALSE
2006-05-02,2,May,2006,9.6,-1.7,0,TRUE,FALSE
2006-05-03,3,May,2006,13.3,1.3,0,TRUE,FALSE
2006-05-04,4,May,2006,12,2.9,0,TRUE,FALSE
2006-05-05,5,May,2006,7.6,0.1,0,TRUE,FALSE
2006-05-06,6,May,2006,2.3,-4.2,0.3,TRUE,FALSE
2006-05-07,7,May,2006,1.3,-5.7,0,TRUE,FALSE
2006-05-08,8,May,2006,10.3,-2.3,0,TRUE,FALSE
2006-05-09,9,May,2006,12.1,-0.2,0,TRUE,FALSE
2006-05-10,10,May,2006,13.9,2.2,0,TRUE,FALSE
2006-05-11,11,May,2006,15.7,12.4,8.3,TRUE,FALSE
2006-05-12,12,May,2006,14.3,9.3,12.1,TRUE,FALSE
2006-05-13,13,May,2006,10.6,8.5,3.9,TRUE,FALSE
2006-05-14,14,May,2006,10,7.9,1.7,TRUE,FALSE
2006-05-15,15,May,2006,11.4,9.3,1.6,TRUE,FALSE
2006-05-16,16,May,2006,11,5.8,2,TRUE,FALSE
2006-05-17,17,May,2006,13.2,6.5,1.3,TRUE,FALSE
2006-05-18,18,May,2006,12.2,4.1,1.8,TRUE,FALSE
2006-05-19,19,May,2006,12.8,7.5,0,TRUE,FALSE
2006-05-20,20,May,2006,4.7,1,0.5,TRUE,FALSE
2006-05-21,21,May,2006,5.2,0.6,0.7,TRUE,FALSE
2006-05-22,22,May,2006,4.7,1,0,TRUE,FALSE
2006-05-23,23,May,2006,8.1,0.3,0,TRUE,FALSE
2006-05-24,24,May,2006,10.6,-2.1,0,TRUE,FALSE
2006-05-25,25,May,2006,14.2,3.6,0,TRUE,FALSE
2006-05-26,26,May,2006,14.4,9.7,1.8,TRUE,FALSE
2006-05-27,27,May,2006,14.7,6,0,TRUE,FALSE
2006-05-28,28,May,2006,13.7,4,0,TRUE,FALSE
2006-05-29,29,May,2006,23.1,14,0,TRUE,FALSE
2006-05-30,30,May,2006,23.9,14.6,2.3,TRUE,FALSE
2006-05-31,31,May,2006,20.4,14.4,0.4,TRUE,FALSE
2007-03-01,1,Mar,2007,-14.1,-25.3,1.4,TRUE,FALSE
2007-03-02,2,Mar,2007,-4.4,-9,11.2,TRUE,FALSE
2007-03-03,3,Mar,2007,-3.1,-4.7,1.8,TRUE,FALSE
2007-03-04,4,Mar,2007,-7.3,-12,0.3,TRUE,FALSE
2007-03-05,5,Mar,2007,-15.2,-24.9,1.1,TRUE,FALSE
2007-03-06,6,Mar,2007,-22.4,-30.2,0,TRUE,FALSE
2007-03-07,7,Mar,2007,-21.5,-34.7,0,TRUE,FALSE
2007-03-08,8,Mar,2007,-18.4,-25.2,0,TRUE,FALSE
2007-03-09,9,Mar,2007,-13.5,-24.7,0.3,TRUE,FALSE
2007-03-10,10,Mar,2007,-2.4,-7.1,4.7,TRUE,FALSE
2007-03-11,11,Mar,2007,1,-4.2,0,TRUE,FALSE
2007-03-12,12,Mar,2007,1.4,-3.1,0,TRUE,FALSE
2007-03-13,13,Mar,2007,6.9,-0.1,0.3,TRUE,FALSE
2007-03-14,14,Mar,2007,7.4,0.3,0,TRUE,FALSE
2007-03-15,15,Mar,2007,-4,-11.8,0.7,TRUE,FALSE
2007-03-16,16,Mar,2007,-9.8,-14.2,0,TRUE,FALSE
2007-03-17,17,Mar,2007,-6.6,-9.5,0.9,TRUE,FALSE
2007-03-18,18,Mar,2007,-8.6,-15.4,0,TRUE,FALSE
2007-03-19,19,Mar,2007,-8.9,-17.8,2.1,TRUE,FALSE
2007-03-20,20,Mar,2007,-12.6,-19.8,0,TRUE,FALSE
2007-03-21,21,Mar,2007,-7.3,-20.7,5.8,TRUE,FALSE
2007-03-22,22,Mar,2007,3.4,-2.7,9.7,TRUE,FALSE
2007-03-23,23,Mar,2007,1.5,-5.3,0,TRUE,FALSE
2007-03-24,24,Mar,2007,-1.2,-6.6,7.4,TRUE,FALSE
2007-03-25,25,Mar,2007,2.4,-1.1,0,TRUE,FALSE
2007-03-26,26,Mar,2007,7.3,1.8,5.1,TRUE,FALSE
2007-03-27,27,Mar,2007,5.1,-2.1,0,TRUE,FALSE
2007-03-28,28,Mar,2007,1,-4.3,0,TRUE,FALSE
2007-03-29,29,Mar,2007,1.2,-7.5,0.3,TRUE,FALSE
2007-03-30,30,Mar,2007,2.2,-4.8,0,TRUE,FALSE
2007-03-31,31,Mar,2007,1.5,-7.6,0,TRUE,FALSE
2007-04-01,1,Apr,2007,0.2,-4.4,0.6,TRUE,FALSE
2007-04-02,2,Apr,2007,5.2,2.4,4.5,TRUE,FALSE
2007-04-03,3,Apr,2007,5.3,1.7,6,TRUE,FALSE
2007-04-04,4,Apr,2007,1.2,-3.8,18.3,TRUE,FALSE
2007-04-05,5,Apr,2007,-5.6,-9.4,1.7,TRUE,FALSE
2007-04-06,6,Apr,2007,-9.4,-13.7,0.8,TRUE,FALSE
2007-04-07,7,Apr,2007,-9.5,-14.8,0.3,TRUE,FALSE
2007-04-08,8,Apr,2007,-2.6,-9,0.6,TRUE,FALSE
2007-04-09,9,Apr,2007,-1.7,-5.4,0,TRUE,FALSE
2007-04-10,10,Apr,2007,-3.5,-8.6,0,TRUE,FALSE
2007-04-11,11,Apr,2007,-3.3,-11.1,3.5,TRUE,FALSE
2007-04-12,12,Apr,2007,-0.1,-1.4,NA,FALSE,FALSE
2007-04-13,13,Apr,2007,1.2,-0.5,2.5,TRUE,FALSE
2007-04-14,14,Apr,2007,1.3,-1.4,0,TRUE,FALSE
2007-04-15,15,Apr,2007,1.6,-1.7,3.2,TRUE,FALSE
2007-04-16,16,Apr,2007,1.8,0.4,14.1,TRUE,FALSE
2007-04-17,17,Apr,2007,3.4,0.5,1.2,TRUE,FALSE
2007-04-18,18,Apr,2007,6.3,-1.9,1.2,TRUE,FALSE
2007-04-19,19,Apr,2007,7.3,-3.2,0,TRUE,FALSE
2007-04-20,20,Apr,2007,8.4,-4.5,0.3,TRUE,FALSE
2007-04-21,21,Apr,2007,10.1,-3.4,0,TRUE,FALSE
2007-04-22,22,Apr,2007,12,-0.6,0.3,TRUE,FALSE
2007-04-23,23,Apr,2007,13.3,3.2,4,TRUE,FALSE
2007-04-24,24,Apr,2007,5.5,-2.3,20.2,TRUE,FALSE
2007-04-25,25,Apr,2007,5.5,-3.6,0,TRUE,FALSE
2007-04-26,26,Apr,2007,5.3,-3.8,1.3,TRUE,FALSE
2007-04-27,27,Apr,2007,8.3,6,7.1,TRUE,FALSE
2007-04-28,28,Apr,2007,7.6,6.1,0.9,TRUE,FALSE
2007-04-29,29,Apr,2007,11.7,3.6,0.4,TRUE,FALSE
2007-04-30,30,Apr,2007,6,-2.4,0.6,TRUE,FALSE
2007-05-01,1,May,2007,5.4,-3.4,0,TRUE,FALSE
2007-05-02,2,May,2007,6.6,-2.6,0,TRUE,FALSE
2007-05-03,3,May,2007,5.7,-5,0,TRUE,FALSE
2007-05-04,4,May,2007,7.2,-3.8,0,TRUE,FALSE
2007-05-05,5,May,2007,5.9,-1.9,0.9,TRUE,FALSE
2007-05-06,6,May,2007,6.5,-4.4,0,TRUE,FALSE
2007-05-07,7,May,2007,9.1,-4.6,0.3,TRUE,FALSE
2007-05-08,8,May,2007,16.2,6.4,0,TRUE,FALSE
2007-05-09,9,May,2007,14.3,4.8,0,TRUE,FALSE
2007-05-10,10,May,2007,15.6,9.1,0.4,TRUE,FALSE
2007-05-11,11,May,2007,10.5,3.6,0.4,TRUE,FALSE
2007-05-12,12,May,2007,4.4,-3.8,0,TRUE,FALSE
2007-05-13,13,May,2007,5.6,-5.7,0,TRUE,FALSE
2007-05-14,14,May,2007,7.7,-2.5,4.9,TRUE,FALSE
2007-05-15,15,May,2007,13.9,8.8,12,TRUE,FALSE
2007-05-16,16,May,2007,6.2,3.1,12.8,TRUE,FALSE
2007-05-17,17,May,2007,7.1,-0.9,0,TRUE,FALSE
2007-05-18,18,May,2007,8.7,-2.5,0,TRUE,FALSE
2007-05-19,19,May,2007,11.4,-1.3,0,TRUE,FALSE
2007-05-20,20,May,2007,4.6,-1.1,0,TRUE,FALSE
2007-05-21,21,May,2007,6.6,-2.5,0,TRUE,FALSE
2007-05-22,22,May,2007,9.2,-1.6,0,TRUE,FALSE
2007-05-23,23,May,2007,15.5,2.2,0,TRUE,FALSE
2007-05-24,24,May,2007,19.6,8.6,NA,FALSE,FALSE
2007-05-25,25,May,2007,15.5,5.3,0,TRUE,FALSE
2007-05-26,26,May,2007,12.4,2.6,0,TRUE,FALSE
2007-05-27,27,May,2007,12.1,7.6,8.8,TRUE,FALSE
2007-05-28,28,May,2007,9.4,3.4,0,TRUE,FALSE
2007-05-29,29,May,2007,13.2,2.8,0,TRUE,FALSE
2007-05-30,30,May,2007,17.7,8.4,0.8,TRUE,FALSE
2007-05-31,31,May,2007,20.6,11.8,0,TRUE,FALSE
2008-03-01,1,Mar,2008,-13.2,-20.5,2.4,TRUE,FALSE
2008-03-02,2,Mar,2008,-12.5,-25.3,0,TRUE,FALSE
2008-03-03,3,Mar,2008,3.3,-2.4,7.4,TRUE,FALSE
2008-03-04,4,Mar,2008,-5.9,-9.7,0,TRUE,FALSE
2008-03-05,5,Mar,2008,-12.8,-19.1,16,TRUE,FALSE
2008-03-06,6,Mar,2008,-9.4,-18.6,0.7,TRUE,FALSE
2008-03-07,7,Mar,2008,-8.8,-14.8,1.7,TRUE,FALSE
2008-03-08,8,Mar,2008,-10.5,-13.1,17.6,TRUE,FALSE
2008-03-09,9,Mar,2008,-16.8,-27.2,2.5,TRUE,FALSE
2008-03-10,10,Mar,2008,-17.2,-31.7,0,TRUE,FALSE
2008-03-11,11,Mar,2008,-11.7,-24.6,0,TRUE,FALSE
2008-03-12,12,Mar,2008,-11.1,-18.4,2.1,TRUE,FALSE
2008-03-13,13,Mar,2008,-14.3,-21.4,2.2,TRUE,FALSE
2008-03-14,14,Mar,2008,-1.5,-9.8,0,TRUE,FALSE
2008-03-15,15,Mar,2008,1,-2.9,0.6,TRUE,FALSE
2008-03-16,16,Mar,2008,-8.4,-15.3,0,TRUE,FALSE
2008-03-17,17,Mar,2008,-9.7,-22,0,TRUE,FALSE
2008-03-18,18,Mar,2008,-2.7,-9,6.5,TRUE,FALSE
2008-03-19,19,Mar,2008,0.9,-0.8,3.4,TRUE,FALSE
2008-03-20,20,Mar,2008,-6,-11.8,0.6,TRUE,FALSE
2008-03-21,21,Mar,2008,-9.3,-15.7,0,TRUE,FALSE
2008-03-22,22,Mar,2008,-8.5,-15.9,0,TRUE,FALSE
2008-03-23,23,Mar,2008,-13,-22.2,0,TRUE,FALSE
2008-03-24,24,Mar,2008,-14.8,-26.7,0,TRUE,FALSE
2008-03-25,25,Mar,2008,-10.7,-22.1,8.4,TRUE,FALSE
2008-03-26,26,Mar,2008,-4.7,-11.2,0.6,TRUE,FALSE
2008-03-27,27,Mar,2008,-4.4,-10.8,0,TRUE,FALSE
2008-03-28,28,Mar,2008,-8.3,-16.6,0,TRUE,FALSE
2008-03-29,29,Mar,2008,-11.6,-23.2,0,TRUE,FALSE
2008-03-30,30,Mar,2008,-8.8,-22.9,0,TRUE,FALSE
2008-03-31,31,Mar,2008,1.2,-0.5,23.2,TRUE,FALSE
2008-04-01,1,Apr,2008,1,-7.8,25.6,TRUE,FALSE
2008-04-02,2,Apr,2008,-4.7,-11.5,0,TRUE,FALSE
2008-04-03,3,Apr,2008,-2,-12.5,0,TRUE,FALSE
2008-04-04,4,Apr,2008,-1.3,-5.9,0,TRUE,FALSE
2008-04-05,5,Apr,2008,3.1,-5.8,0,TRUE,FALSE
2008-04-06,6,Apr,2008,3.1,-6.9,0,TRUE,FALSE
2008-04-07,7,Apr,2008,2.7,-3.4,0,TRUE,FALSE
2008-04-08,8,Apr,2008,6.7,-0.2,0,TRUE,FALSE
2008-04-09,9,Apr,2008,5.1,-0.2,4.9,TRUE,FALSE
2008-04-10,10,Apr,2008,2,-1.1,0,TRUE,FALSE
2008-04-11,11,Apr,2008,-0.6,-1.4,26.8,TRUE,FALSE
2008-04-12,12,Apr,2008,-1.4,-4.2,22.7,TRUE,FALSE
2008-04-13,13,Apr,2008,-0.8,-4.8,0,TRUE,FALSE
2008-04-14,14,Apr,2008,0.1,-6.8,0,TRUE,FALSE
2008-04-15,15,Apr,2008,-0.2,-9.7,0,TRUE,FALSE
2008-04-16,16,Apr,2008,6.1,-4,0,TRUE,FALSE
2008-04-17,17,Apr,2008,9.3,-2,0,TRUE,FALSE
2008-04-18,18,Apr,2008,11.4,-1.1,0,TRUE,FALSE
2008-04-19,19,Apr,2008,12.4,-0.9,0,TRUE,FALSE
2008-04-20,20,Apr,2008,13.2,1.4,0,TRUE,FALSE
2008-04-21,21,Apr,2008,12.3,0.3,0,TRUE,FALSE
2008-04-22,22,Apr,2008,13.6,2.4,0,TRUE,FALSE
2008-04-23,23,Apr,2008,10,-1.5,0,TRUE,FALSE
2008-04-24,24,Apr,2008,9,-3.3,0,TRUE,FALSE
2008-04-25,25,Apr,2008,8.6,-1.1,6,TRUE,FALSE
2008-04-26,26,Apr,2008,10.4,0.8,15.1,TRUE,FALSE
2008-04-27,27,Apr,2008,7.9,-1.4,0,TRUE,FALSE
2008-04-28,28,Apr,2008,1.8,-1.2,15.5,TRUE,FALSE
2008-04-29,29,Apr,2008,-0.5,-5.1,0,TRUE,FALSE
2008-04-30,30,Apr,2008,-0.1,-6.7,0.7,TRUE,FALSE
2008-05-01,1,May,2008,4.2,-4.7,0,TRUE,FALSE
2008-05-02,2,May,2008,4.8,-1.2,4.7,TRUE,FALSE
2008-05-03,3,May,2008,10.5,6.4,22.1,TRUE,FALSE
2008-05-04,4,May,2008,4.4,-2.2,1.7,TRUE,FALSE
2008-05-05,5,May,2008,7.7,-3,0,TRUE,FALSE
2008-05-06,6,May,2008,7,-1.6,0,TRUE,FALSE
2008-05-07,7,May,2008,5.4,-2.5,14.4,TRUE,FALSE
2008-05-08,8,May,2008,5.4,-1.5,0,TRUE,FALSE
2008-05-09,9,May,2008,6.1,-2.7,0,TRUE,FALSE
2008-05-10,10,May,2008,10.6,1.7,0,TRUE,FALSE
2008-05-11,11,May,2008,9.1,-0.9,0,TRUE,FALSE
2008-05-12,12,May,2008,12.4,5.5,0,TRUE,FALSE
2008-05-13,13,May,2008,12.6,2.3,0,TRUE,FALSE
2008-05-14,14,May,2008,12.1,2.3,1.8,TRUE,FALSE
2008-05-15,15,May,2008,7.6,-0.9,0,TRUE,FALSE
2008-05-16,16,May,2008,8.2,-2.5,0,TRUE,FALSE
2008-05-17,17,May,2008,7.9,1,2.3,TRUE,FALSE
2008-05-18,18,May,2008,5.6,-1.1,7.1,TRUE,FALSE
2008-05-19,19,May,2008,5.4,0.7,5,TRUE,FALSE
2008-05-20,20,May,2008,7.5,-0.7,0,TRUE,FALSE
2008-05-21,21,May,2008,5.2,1.3,0.6,TRUE,FALSE
2008-05-22,22,May,2008,9.2,3.1,1.4,TRUE,FALSE
2008-05-23,23,May,2008,10.9,5,0,TRUE,FALSE
2008-05-24,24,May,2008,10.7,2.2,0,TRUE,FALSE
2008-05-25,25,May,2008,10.7,-0.5,0,TRUE,FALSE
2008-05-26,26,May,2008,13.5,5.2,5.3,TRUE,FALSE
2008-05-27,27,May,2008,4.1,-2.3,0,TRUE,FALSE
2008-05-28,28,May,2008,6.7,-3.6,0,TRUE,FALSE
2008-05-29,29,May,2008,13.8,4.4,0,TRUE,FALSE
2008-05-30,30,May,2008,11.1,1.7,9.6,TRUE,FALSE
2008-05-31,31,May,2008,14.2,8.8,4.1,TRUE,FALSE
2009-03-01,1,Mar,2009,-17.7,-28,0,TRUE,FALSE
2009-03-02,2,Mar,2009,-17.7,-22.7,0,TRUE,FALSE
2009-03-03,3,Mar,2009,-16.9,-27.1,0,TRUE,FALSE
2009-03-04,4,Mar,2009,-13.1,-25.1,0,TRUE,FALSE
2009-03-05,5,Mar,2009,-10,-21.6,0,TRUE,FALSE
2009-03-06,6,Mar,2009,4.6,0.3,0.6,TRUE,FALSE
2009-03-07,7,Mar,2009,3.3,-0.8,0,TRUE,FALSE
2009-03-08,8,Mar,2009,-0.1,-4,0,TRUE,FALSE
2009-03-09,9,Mar,2009,-2.1,-8.3,5.5,TRUE,FALSE
