x,y,LOCAL_DAY,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_RAIN,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION,MAX_TEMPERATURE,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,SPEED_MAX_GUST,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,LOCAL_DATE,SNOW_ON_GROUND,LOCAL_MONTH,LOCAL_YEAR,COOLING_DEGREE_DAYS,ID,HEATING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,PROVINCE_CODE,MEAN_TEMPERATURE,TOTAL_RAIN_FLAG,MIN_REL_HUMIDITY,STATION_NAME,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW
-78.26666667,45.53333333,11,,,,6080192,,,0,0,23.9,5.3,99,0,,1.5,M,2004-09-11,,9,2004,0,6080192.2004.9.11,,,ON,12.7,M,48,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,12,,,,6080192,,,0,0.8,22.9,3.1,98,0,,6.9,M,2004-09-12,,9,2004,0,6080192.2004.9.12,,,ON,14.9,M,58,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,13,,,,6080192,,,0,0,20.9,4.2,99,0,,6.7,M,2004-09-13,,9,2004,0,6080192.2004.9.13,,,ON,13.8,M,53,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,14,,,,6080192,,,0,0,26.3,2.4,99,0,,4.9,M,2004-09-14,,9,2004,0,6080192.2004.9.14,,,ON,15.6,M,44,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,15,,,,6080192,,,0,0,25.8,0,99,0,,10.6,M,2004-09-15,,9,2004,0.2,6080192.2004.9.15,,,ON,18.2,M,55,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,16,,,,6080192,,,0,2.4,21,3.4,99,0,,8.2,M,2004-09-16,,9,2004,0,6080192.2004.9.16,,,ON,14.6,M,72,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,17,,,,6080192,,,0,0.2,13.8,10.4,99,0,,1.3,M,2004-09-17,,9,2004,0,6080192.2004.9.17,,,ON,7.6,M,60,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,18,M,,,6080192,,,0,,,,,0,E,-1.9,M,2004-09-18,,9,2004,,6080192.2004.9.18,M,M,ON,,M,,ALGONQUIN PARK EAST GATE,,M,,M,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,19,M,,,6080192,,,0,,,,99,0,E,-3.5,M,2004-09-19,,9,2004,,6080192.2004.9.19,M,M,ON,,M,29,ALGONQUIN PARK EAST GATE,,M,,M,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,20,M,,,6080192,,,0,,20,8,99,0,,0,M,2004-09-20,,9,2004,0,6080192.2004.9.20,,,ON,10,M,38,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,21,,,,6080192,,,0,0,24.9,3.3,98,0,,4.5,M,2004-09-21,,9,2004,0,6080192.2004.9.21,,,ON,14.7,M,33,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,22,,,,6080192,,,0,0,27,2.8,99,0,,3.4,M,2004-09-22,,9,2004,0,6080192.2004.9.22,,,ON,15.2,M,41,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,23,,,,6080192,,,0,0,26.6,0.3,99,0,,8.8,M,2004-09-23,,9,2004,0,6080192.2004.9.23,,,ON,17.7,M,55,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,24,,,,6080192,,,0,0,25.8,1.5,100,0,,7.2,M,2004-09-24,,9,2004,0,6080192.2004.9.24,,,ON,16.5,M,49,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,25,,,,6080192,,,0,0,20.4,5.7,99,0,,4.1,M,2004-09-25,,9,2004,0,6080192.2004.9.25,,,ON,12.3,M,52,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,26,,,,6080192,,,0,0,22.9,4.4,100,0,,4.3,M,2004-09-26,,9,2004,0,6080192.2004.9.26,,,ON,13.6,M,43,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,27,,,,6080192,,,0,0,22.8,4.2,100,0,,4.8,M,2004-09-27,,9,2004,0,6080192.2004.9.27,,,ON,13.8,M,43,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,28,,,,6080192,,,0,0,15.7,10.3,100,0,,-0.3,M,2004-09-28,,9,2004,0,6080192.2004.9.28,,,ON,7.7,M,48,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,29,,,,6080192,,,0,0,18.8,9.9,100,0,,-2.6,M,2004-09-29,,9,2004,0,6080192.2004.9.29,,,ON,8.1,M,35,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,30,,,,6080192,,,0,0,20.3,9,100,0,,-2.3,M,2004-09-30,,9,2004,0,6080192.2004.9.30,,,ON,9,M,32,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,1,,,,6080192,,,0,0,21.9,7.2,100,0,,-0.3,M,2004-10-01,,10,2004,0,6080192.2004.10.1,,,ON,10.8,M,23,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,2,,,,6080192,,,24,5.4,17,10.4,99,32,,-1.8,M,2004-10-02,,10,2004,0,6080192.2004.10.2,,,ON,7.6,M,70,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,3,,,,6080192,,,0,0,14,12.2,100,0,,-2.4,M,2004-10-03,,10,2004,0,6080192.2004.10.3,,,ON,5.8,M,44,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,4,,,,6080192,,,0,3.2,9.9,15.1,99,0,,-4.1,M,2004-10-04,,10,2004,0,6080192.2004.10.4,,,ON,2.9,M,59,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,5,,,,6080192,,,0,0.2,10.4,14.2,99,0,,-2.9,M,2004-10-05,,10,2004,0,6080192.2004.10.5,,,ON,3.8,M,42,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,6,,,,6080192,,,27,0,17.7,10.5,99,32,,-2.7,M,2004-10-06,,10,2004,0,6080192.2004.10.6,,,ON,7.5,M,52,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,7,,,,6080192,,,0,0,24.1,6.4,100,0,,-0.9,M,2004-10-07,,10,2004,0,6080192.2004.10.7,,,ON,11.6,M,47,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,8,,,,6080192,,,0,0,22,6.2,100,0,,1.6,M,2004-10-08,,10,2004,0,6080192.2004.10.8,,,ON,11.8,M,39,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,9,,,,6080192,,,27,12.2,15.3,7.9,97,41,,4.8,M,2004-10-09,,10,2004,0,6080192.2004.10.9,,,ON,10.1,M,72,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,10,,,,6080192,,,0,0,9.3,11.7,93,0,,3.3,M,2004-10-10,,10,2004,0,6080192.2004.10.10,,,ON,6.3,M,67,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,11,,,,6080192,,,0,0,11.5,13.9,99,0,,-3.3,M,2004-10-11,,10,2004,0,6080192.2004.10.11,,,ON,4.1,M,51,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,12,,,,6080192,,,0,0,16.5,11.9,100,0,,-4.4,M,2004-10-12,,10,2004,0,6080192.2004.10.12,,,ON,6.1,M,31,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,13,,,,6080192,,,0,0,18.9,9.7,100,0,,-2.4,M,2004-10-13,,10,2004,0,6080192.2004.10.13,,,ON,8.3,M,46,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,14,,,,6080192,,,0,0,14.7,9.8,99,0,,1.7,M,2004-10-14,,10,2004,0,6080192.2004.10.14,,,ON,8.2,M,45,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,15,,,,6080192,,,0,0,11.3,8.3,99,0,,8.1,M,2004-10-15,,10,2004,0,6080192.2004.10.15,,,ON,9.7,M,94,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,16,,,,6080192,,,0,0,9.5,11.5,97,0,,3.5,M,2004-10-16,,10,2004,0,6080192.2004.10.16,,,ON,6.5,M,76,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,17,,,,6080192,,,24,0,4.8,15.4,96,32,,0.3,M,2004-10-17,,10,2004,0,6080192.2004.10.17,,,ON,2.6,M,89,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,18,,,,6080192,,,0,0,4.6,17.7,99,0,,-4.1,M,2004-10-18,,10,2004,0,6080192.2004.10.18,,,ON,0.3,M,61,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,19,,,,6080192,,,0,0,6.4,17.6,99,0,,-5.7,M,2004-10-19,,10,2004,0,6080192.2004.10.19,,,ON,0.4,M,64,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,20,,,,6080192,,,0,0,4.3,17.6,99,0,,-3.6,M,2004-10-20,,10,2004,0,6080192.2004.10.20,,,ON,0.4,M,82,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,21,M,,,6080192,,,0,,6.8,16.1,,0,,-3,M,2004-10-21,,10,2004,0,6080192.2004.10.21,,,ON,1.9,M,,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,22,,,,6080192,,,0,0,9.6,15.3,99,0,,-4.2,M,2004-10-22,,10,2004,0,6080192.2004.10.22,,,ON,2.7,M,71,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,23,,,,6080192,,,0,0,11.8,14.2,100,0,,-4.3,M,2004-10-23,,10,2004,0,6080192.2004.10.23,,,ON,3.8,M,53,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,24,,,,6080192,,,0,0,10,11.2,98,0,,3.5,M,2004-10-24,,10,2004,0,6080192.2004.10.24,,,ON,6.8,M,69,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,25,,,,6080192,,,0,0,10.6,10.1,99,0,,5.1,M,2004-10-25,,10,2004,0,6080192.2004.10.25,,,ON,7.9,M,80,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,26,,,,6080192,,,0,0,15,10.5,99,0,,-0.1,M,2004-10-26,,10,2004,0,6080192.2004.10.26,,,ON,7.5,M,55,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,27,,,,6080192,,,0,0,8.8,16.2,99,0,,-5.3,M,2004-10-27,,10,2004,0,6080192.2004.10.27,,,ON,1.8,M,51,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,28,,,,6080192,,,0,0,9.6,17,98,0,,-7.7,M,2004-10-28,,10,2004,0,6080192.2004.10.28,,,ON,1,M,37,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,29,,,,6080192,,,0,0,9.4,14.9,99,0,,-3.2,M,2004-10-29,,10,2004,0,6080192.2004.10.29,,,ON,3.1,M,42,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,30,,,,6080192,,,25,0,16.3,7.4,100,39,,4.9,M,2004-10-30,,10,2004,0,6080192.2004.10.30,,,ON,10.6,M,83,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,31,,,0,6080192,,,26,0.3,10.9,12.1,94,32,,0.9,M,2004-10-31,,10,2004,0,6080192.2004.10.31,,,ON,5.9,,80,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,1,,,0,6080192,,,0,0.3,5.8,15.2,94,0,,-0.2,M,2004-11-01,,11,2004,0,6080192.2004.11.1,,,ON,2.8,,66,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,2,,,0,6080192,,,0,8,3.5,16.3,98,0,,-0.1,M,2004-11-02,,11,2004,0,6080192.2004.11.2,,,ON,1.7,,91,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,3,,,,6080192,,,0,0,5.3,18.4,99,0,,-6.1,M,2004-11-03,,11,2004,0,6080192.2004.11.3,,,ON,-0.4,M,57,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,4,,,0,6080192,,,0,6.2,2.5,20.5,100,0,,-7.4,M,2004-11-04,,11,2004,0,6080192.2004.11.4,,,ON,-2.5,,77,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,5,,,0,6080192,,,29,4.1,2,17.3,100,39,,-0.6,M,2004-11-05,4,11,2004,0,6080192.2004.11.5,,,ON,0.7,,82,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,6,,,,6080192,,,28,0,11.1,12.3,100,37,,0.3,M,2004-11-06,2,11,2004,0,6080192.2004.11.6,,,ON,5.7,M,63,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,7,,,0,6080192,,,28,0.3,11.5,14.8,99,33,,-5.1,M,2004-11-07,,11,2004,0,6080192.2004.11.7,,,ON,3.2,,52,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,8,,,0,6080192,,,0,2.8,-0.3,21.5,99,0,,-6.7,M,2004-11-08,,11,2004,0,6080192.2004.11.8,,,ON,-3.5,,68,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,9,,,,6080192,,,0,0,-1.3,25.1,95,0,,-12.9,M,2004-11-09,1,11,2004,0,6080192.2004.11.9,,,ON,-7.1,M,41,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,10,,,,6080192,,,22,0,9.2,15.2,79,32,,-3.6,M,2004-11-10,1,11,2004,0,6080192.2004.11.10,,,ON,2.8,M,65,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,11,,,0,6080192,,,31,1.7,9.3,18.8,96,35,,-10.9,M,2004-11-11,,11,2004,0,6080192.2004.11.11,,,ON,-0.8,,54,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,12,,,,6080192,,,0,0,3.8,22.6,95,0,,-12.9,M,2004-11-12,,11,2004,0,6080192.2004.11.12,,,ON,-4.6,M,50,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,13,,,,6080192,,,0,0,1.4,25.2,96,0,,-15.7,M,2004-11-13,,11,2004,0,6080192.2004.11.13,,,ON,-7.2,M,40,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,14,,,,6080192,,,0,0,8.4,19.4,99,0,,-11.2,M,2004-11-14,,11,2004,0,6080192.2004.11.14,,,ON,-1.4,M,50,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,15,,,,6080192,,,0,0,11.5,14.5,99,0,,-4.6,M,2004-11-15,,11,2004,0,6080192.2004.11.15,,,ON,3.5,M,36,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,16,,,,6080192,,,0,0,8.8,15.9,100,0,,-4.6,M,2004-11-16,,11,2004,0,6080192.2004.11.16,,,ON,2.1,M,67,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,17,,,,6080192,,,0,0.4,9.8,12.5,99,0,,1.2,M,2004-11-17,,11,2004,0,6080192.2004.11.17,,,ON,5.5,M,80,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,18,,,,6080192,,,0,0.4,9.7,12.6,99,0,,1,M,2004-11-18,,11,2004,0,6080192.2004.11.18,,,ON,5.4,M,87,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,19,,,,6080192,,,0,0,7.1,16.4,99,0,,-4,M,2004-11-19,,11,2004,0,6080192.2004.11.19,,,ON,1.6,M,60,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,20,,,,6080192,,,0,0.9,1.3,17.9,100,0,,-1.1,M,2004-11-20,,11,2004,0,6080192.2004.11.20,,,ON,0.1,M,80,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,21,,,,6080192,,,25,0,6.2,15.5,100,32,,-1.2,M,2004-11-21,,11,2004,0,6080192.2004.11.21,,,ON,2.5,M,55,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,22,,,,6080192,,,0,0,6,17.8,99,0,,-5.7,M,2004-11-22,,11,2004,0,6080192.2004.11.22,,,ON,0.2,M,48,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,23,,,,6080192,,,0,4.4,5.4,17.9,99,0,,-5.2,M,2004-11-23,,11,2004,0,6080192.2004.11.23,,,ON,0.1,M,86,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,24,,,0,6080192,,,0,10.2,3.2,17.8,99,0,,-2.9,M,2004-11-24,,11,2004,0,6080192.2004.11.24,,,ON,0.2,,77,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,25,,,0,6080192,,,0,4.1,-2.7,27,96,0,,-15.3,M,2004-11-25,9,11,2004,0,6080192.2004.11.25,,,ON,-9,,74,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,26,,,,6080192,,,0,0,-2.3,28.5,95,0,,-18.6,M,2004-11-26,8,11,2004,0,6080192.2004.11.26,,,ON,-10.5,M,47,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,27,,,,6080192,,,0,0.9,4.6,21.1,96,0,,-10.8,M,2004-11-27,9,11,2004,0,6080192.2004.11.27,,,ON,-3.1,M,72,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,28,,,,6080192,,,28,14,5.7,16.9,97,41,,-3.6,M,2004-11-28,6,11,2004,0,6080192.2004.11.28,,,ON,1.1,M,79,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.26666667,45.53333333,29,,,,6080192,,,0,0,1.3,20.1,96,0,,-5.4,M,2004-11-29,3,11,2004,0,6080192.2004.11.29,,,ON,-2.1,M,60,ALGONQUIN PARK EAST GATE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
